tweet_id,content,datetime,likes,shares,views,source,followers,hashtags,username,user_mentions_names,media_urls,comments_count,total_engagement,sentiment,is_complaint,complaint_category
1860045970278613429,ola driver is rude and the way he was talking with customer is rubbish however he was telling me Ola Wale thodi naa itna paise dete hai ... Aap kaise payment kar rahe ho pehle batao tab jaounga your hiring process and people's grooming is bad,2024-11-22 19:41:31,0,0,4,TWITTER,15,,nishantranjan54,"Ola, Ola Support",https://pbs.twimg.com/media/GdA18i2agAILuYO.jpg,1,1,Negative,True,Driver Issues
1710370803500679466,"Ola is hiring goons as drivers! Booked a cab from The Lodhi to Faridabad &amp; the cab fare was 621 Rs. On reaching Faridabad, the driver, Rajeev threatened me to pay 778 rs. Where is the safety with Ola? Ola has given no way to report such crimes!",2023-10-06 19:05:51,6,2,194,TWITTER,5,,PancholiNi65782,"Ola, Ola Support, PMO India","https://pbs.twimg.com/media/F7x1LR0bUAAcCnI.jpg, https://pbs.twimg.com/media/F7x1JpGbAAAdrdq.jpg",0,8,Neutral,True,Driver Issues
1817485520416768180,What are your hiring standards? How is this driver even 4.6 rated? I was asked for the fare shown as soon as I get in the car and this is how the conversation went,2024-07-28 09:01:29,0,0,86,TWITTER,29,,MVNDRVX,"Ola, Ola Support","https://pbs.twimg.com/media/GTkBcrAXwAAj2iV.jpg, https://pbs.twimg.com/media/GTkBcrDWIAE62N-.jpg, https://pbs.twimg.com/media/GTkBcrHWkAATKjD.jpg",3,3,Neutral,True,Driver Issues
1731929842675773756,why why such kinds of auto drivers are ur hiring not well the driver old age not good auto also very poor asking how much money u have paid for this ride why this query are need for him again asking my network is not working please pay cash Wow,2023-12-05 06:53:46,0,0,12,TWITTER,37,,NaveenK51541172,"Ola Support, Ola, Ola",https://pbs.twimg.com/media/GAkNA3PaIAAsvtZ.jpg,0,0,Negative,True,Driver Issues
1837482429876969507,when will yall start hiring peeps after vetting them? Just had a cab booked for me a friend and the driver called and said he wont come over cuz distance is far. Upon asking him to cancel he used profanity and hung up on me after cancelling the ride.,2024-09-21 13:22:04,0,0,5,TWITTER,10,,Head21Metal,"Ola, Ola Support",https://pbs.twimg.com/media/GYAMhGZWkAASdww.jpg,0,0,Positive,True,Driver Issues
1794499534808367175,"Just now i booked a cab , it showing 873 and the guy is asking give me 1300 else cancel, what sort of behaviour is this when i asked him to cancel the ride from hi side since he is refusing , he s threatening me . Ola .. are you hiring driveror gunda",2024-05-25 22:43:23,0,1,8,TWITTER,1,,binz125,"Ola, Ola Support",https://pbs.twimg.com/media/GOdXzpkWUAAm0cZ.jpg,0,1,Neutral,True,Driver Issues
1846593775176421509,"hiring drivers or hooligans ? Your driver is demanding 4 times of what your app shows after the ride @ 1 Am . He is not ready to leave , kindly provide a solution #cab #hyd no option to call support on ola creating scene in building",2024-10-16 16:47:18,0,2,79,TWITTER,9,"cab, hyd",vishulaungani,"Ola, Uber India, Ola Support, Bhavish Aggarwal","https://pbs.twimg.com/ext_tw_video_thumb/1846593520053932033/pu/img/mP4v_oVfxL9SdhPY.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1846593520062328832/pu/img/FoE-oFOAtxPesZn4.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1846593520053952512/pu/img/rgJqj5AN3pEcRrCM.jpg",2,4,Positive,True,Driver Issues
1629865050105081856,"driver is abusing on calls and watching videos while driving for the past half an hour. Please keep people's safety in mind before hiring such folks. Listening to his conversations, I'm scared to ask him to stop or deboard the cab as I have a flight to catch.",2023-02-26 15:24:44,0,0,23,TWITTER,1,,Ayshnyk,"Ola, Olacabs Delhi",https://pbs.twimg.com/media/Fp5xnb5WwAMUnHv.jpg,0,0,Negative,True,Driver Issues
1654647619132456960,"today5am I had scheduled cab to Amritsar airport,the driver in the middle of trip cancelled,asked that he would take offline,in middle of trip i was forced to go by that.I request to do proper screening of the driver before hiring.he acted as Gunda.",2023-05-06 00:41:48,0,1,69,TWITTER,8,,ardent_nirbhay,"Bhavish Aggarwal, Ola, Ola Support",https://pbs.twimg.com/media/FvZ6esrX0AAxzw7.jpg,1,2,Negative,True,Driver Issues
1867407597995012282,Hey u have hired some idiots on your platform......the guy refused to take ONLINE PAYMENT.....now not even cancelling the ride.....I tried cancelling ride from app....it's not going through.....WHY DRE IS A ONLINE PAYMENT OPTION when your driver can't,2024-12-13 03:14:00,79,7,15566,TWITTER,9992,,imYadav31,"Ola, Ola Support",https://pbs.twimg.com/media/GepdTvRbIAAivoy.jpg,22,108,Negative,True,Driver Issues
